row_id,c1,c2,c3,c4,c5
1,"1(Post Offices)","0.030**","0.038**","0.038***","0.016","0.025**"
2,"","(0.013)","(0.015)","(0.013)","(0.011)","(0.013)"
3,"Financial Services","0.021","","","",""
4,"","(0.016)","","","",""
5,"1(Post Offices) × Financial Services","0.008","","","",""
6,"","(0.035)","","","",""
7,"Financial Dependency","","0.008***","","",""
8,"","",(0.003),"","",""
9,"1(Post Offices) × Financial Dependency","","0.003","","",""
10,"","",(0.007),"","",""
11,"Communication","","","-0.003","",""
12,"","","(0.006)","","",""
13,"1(Post Offices)× Communication","","","-0.032","",""
14,"","","(0.021)","","",""
15,"Out-of-State Trade Journals","","","","0.006*",""
16,"","","","","(0.004)",""
17,"1(Post Offices) × Out-of-State Trade Journals","","","","0.026***",""
18,"","","","","(0.010)",""
19,"Patents","","","","","-0.012"
20,"","","","","","(0.016)"
21,"1(Post Offices) × Patents","","","","","0.070*"
22,"","","","","","(0.036)"
23,"Observations","38812","17528","38812","38812","38812"
