row,c1,c2,c3,c4,c5,c6,c7
1,1(New PO),-0.0346,-0.00319,0.0100,-0.0354,-0.110**,-0.0463
2,,(0.0394),(0.0447),(0.0562),(0.0422),(0.0559),(0.0386)
3,Industry Concentration,0.0392,,,,,
4,,(0.136),,,,,
5,1(New PO) × Industry Concen.,-0.0758,,,,,
6,,(0.199),,,,,
7,Entry,0.0018**,,,,,
8,,(0.0008),,,,,
9,1(New PO) × Entry,,-0.0017**,,,,
10,,,(0.0008),,,,
11,Money Order PO,,,-0.0667,,,
12,,,,(0.0667),,,
13,1(New PO) × Money Order PO,,,-0.0163,,,
14,,,,(0.0442),,,
15,Telephone,,,,0.0006,,
16,,,,,(0.1331),,
17,1(New PO) × Telephone,,,,-0.0113,,
18,,,,,(0.1441),,
19,Out-of-State Trade Journal,,,,,-0.154***,
20,,,,,,(0.0387),
21,1(New PO) × Out-of-State Trade Journal,,,,,0.0955*,
22,,,,,,(0.0573),
23,Seeds,,,,,-0.139**,
24,,,,,,(0.0685),
25,1(New PO) × Seeds,,,,,0.271***,
26,,,,,,(0.0750),
27,Industry fixed effects,Yes,Yes,Yes,Yes,No,Yes
28,Observations,2140,2140,2140,2140,2140,2140
